Date,open,high,low,close,volume,vwap,transactions,otc
2025-07-28,637.48,638.04,635.54,636.94,54917102.0,636.8501,630214,
2025-07-29,638.35,638.67,634.335,635.26,60556278.0,636.1089,708687,
2025-07-30,635.92,637.68,631.54,634.46,80418851.0,634.814,820333,
2025-07-31,639.455,639.85,630.765,632.08,103385246.0,635.1207,1017926,
2025-08-01,626.3,626.34,619.29,621.72,140103572.0,622.4261,1466043,
2025-08-04,625.67,631.215,625.58,631.17,73218015.0,629.1819,802217,
2025-08-05,631.79,632.6052,627.04,627.97,68051401.0,629.1136,806967,
2025-08-06,629.05,633.44,628.13,632.78,64357525.0,631.312,690531,
2025-08-07,636.24,636.98,629.11,632.25,74205791.0,632.3977,835614,
2025-08-08,634.06,637.645,633.74,637.18,64051626.0,636.1232,705058,
2025-08-11,637.46,638.95,634.66,635.92,58742300.0,636.8003,669920,
2025-08-12,638.29,642.85,636.79,642.69,64821798.0,640.6188,761232,
2025-08-13,644.91,646.19,642.68,644.89,60092790.0,644.218,672682,
2025-08-14,642.79,645.62,642.34,644.95,59327466.0,644.2844,682668,
2025-08-15,645.99,646.09,642.5153,643.44,68592507.0,644.1732,637298,
2025-08-18,642.86,644.0,642.18,643.3,43804914.0,643.1665,583828,
2025-08-19,643.12,644.105,638.48,639.81,69750731.0,640.7892,769488,
2025-08-20,639.4,639.66,632.95,638.11,88890298.0,636.7957,1033790,
2025-08-21,636.28,637.97,633.81,635.55,54805775.0,635.9556,617474,
2025-08-22,637.76,646.5,637.25,645.31,84083214.0,644.0776,924994,
2025-08-25,644.04,645.29,642.35,642.47,51274332.0,644.0025,657583,
2025-08-26,642.2,645.51,641.57,645.16,51581565.0,643.6381,575104,
2025-08-27,644.57,647.37,644.42,646.63,48341069.0,646.202,514537,
2025-08-28,647.24,649.48,645.34,648.92,61519461.0,647.7387,595301,
2025-08-29,647.47,647.84,643.14,645.05,74522192.0,645.0241,747975,
2025-09-02,637.5,640.49,634.92,640.27,81983545.0,638.6978,903028,
2025-09-03,642.67,644.21,640.46,643.74,70820898.0,642.413,818583,
2025-09-04,644.42,649.15,643.51,649.12,65219228.0,646.6617,743467,
2025-09-05,651.48,652.21,643.33,647.24,85178935.0,647.1536,988753,
2025-09-08,648.62,649.84,647.23,648.83,63133104.0,648.4359,773422,
2025-09-09,648.97,650.86,647.22,650.33,66133856.0,649.4358,684357,
2025-09-10,653.62,654.55,650.63,652.21,78034529.0,652.617,841963,
2025-09-11,654.18,658.33,653.59,657.63,69934360.0,656.5777,755221,
2025-09-12,657.6,659.11,656.9,657.41,72780135.0,657.88,683140,
2025-09-15,659.64,661.04,659.34,660.91,63772412.0,660.1911,771637,
2025-09-16,661.47,661.78,659.21,660.0,61168953.0,660.2157,755515,
2025-09-17,660.01,661.72,654.3,659.18,101952244.0,658.991,1070032,
2025-09-18,661.89,664.89,660.27,662.26,90459242.0,662.615,951833,
2025-09-19,662.33,664.55,660.37,663.7,97945620.0,662.6426,842334,
2025-09-22,662.2,667.29,662.17,666.84,69452201.0,665.4714,795553,
2025-09-23,666.72,667.34,661.98,663.21,81708872.0,664.4071,896647,
2025-09-24,664.51,664.61,659.67,661.1,68082229.0,661.664,807609,
2025-09-25,657.94,659.4056,654.405,658.05,89622067.0,657.5736,935968,
2025-09-26,659.51,662.37,657.88,661.82,69179209.0,660.5907,769909,
2025-09-29,664.36,665.28,661.86,663.68,73499015.0,663.3939,763838,
2025-09-30,662.93,666.65,661.61,666.18,86288028.0,664.3153,772090,
2025-10-01,663.17,669.37,663.06,668.45,72545369.0,666.8924,974350,
