symbol,expiration_date,strike_price,type,underlying_ticker,exercise_style,primary_exchange
O:AAPL251212C00185000,2025-12-12,185.0,call,AAPL,american,BATO
O:AAPL251212C00190000,2025-12-12,190.0,call,AAPL,american,BATO
O:AAPL251212C00195000,2025-12-12,195.0,call,AAPL,american,BATO
O:AAPL251212C00200000,2025-12-12,200.0,call,AAPL,american,BATO
O:AAPL251212C00205000,2025-12-12,205.0,call,AAPL,american,BATO
O:AAPL251212C00210000,2025-12-12,210.0,call,AAPL,american,BATO
O:AAPL251212C00215000,2025-12-12,215.0,call,AAPL,american,BATO
O:AAPL251212C00220000,2025-12-12,220.0,call,AAPL,american,BATO
O:AAPL251212C00225000,2025-12-12,225.0,call,AAPL,american,BATO
O:AAPL251212C00230000,2025-12-12,230.0,call,AAPL,american,BATO
O:AAPL251212C00235000,2025-12-12,235.0,call,AAPL,american,BATO
O:AAPL251212C00240000,2025-12-12,240.0,call,AAPL,american,BATO
O:AAPL251212C00245000,2025-12-12,245.0,call,AAPL,american,BATO
O:AAPL251212C00250000,2025-12-12,250.0,call,AAPL,american,BATO
O:AAPL251212C00255000,2025-12-12,255.0,call,AAPL,american,BATO
O:AAPL251212C00260000,2025-12-12,260.0,call,AAPL,american,BATO
O:AAPL251212C00265000,2025-12-12,265.0,call,AAPL,american,BATO
O:AAPL251212C00270000,2025-12-12,270.0,call,AAPL,american,BATO
O:AAPL251212C00275000,2025-12-12,275.0,call,AAPL,american,BATO
O:AAPL251212C00280000,2025-12-12,280.0,call,AAPL,american,BATO
O:AAPL251212C00285000,2025-12-12,285.0,call,AAPL,american,BATO
O:AAPL251212C00290000,2025-12-12,290.0,call,AAPL,american,BATO
O:AAPL251212C00295000,2025-12-12,295.0,call,AAPL,american,BATO
O:AAPL251212C00300000,2025-12-12,300.0,call,AAPL,american,BATO
O:AAPL251212C00305000,2025-12-12,305.0,call,AAPL,american,BATO
O:AAPL251212C00310000,2025-12-12,310.0,call,AAPL,american,BATO
O:AAPL251212C00315000,2025-12-12,315.0,call,AAPL,american,BATO
O:AAPL251212C00320000,2025-12-12,320.0,call,AAPL,american,BATO
O:AAPL251212C00325000,2025-12-12,325.0,call,AAPL,american,BATO
O:AAPL251212C00330000,2025-12-12,330.0,call,AAPL,american,BATO
O:AAPL251212C00335000,2025-12-12,335.0,call,AAPL,american,BATO
O:AAPL251212C00340000,2025-12-12,340.0,call,AAPL,american,BATO
O:AAPL251212C00345000,2025-12-12,345.0,call,AAPL,american,BATO
O:AAPL251212C00350000,2025-12-12,350.0,call,AAPL,american,BATO
O:AAPL251212C00355000,2025-12-12,355.0,call,AAPL,american,BATO
O:AAPL251212C00360000,2025-12-12,360.0,call,AAPL,american,BATO
